video_id,frame_id,bbox_area
2000300,0,"[836, 175, 83, 112]"
2000300,1,"[838, 175, 83, 113]"
2000300,2,"[839, 174, 85, 115]"
2000300,3,"[841, 173, 84, 116]"
2000300,4,"[843, 172, 85, 117]"
2000300,5,"[845, 171, 85, 119]"
2000300,6,"[847, 171, 85, 120]"
2000300,7,"[850, 170, 84, 122]"
2000300,8,"[852, 170, 84, 123]"
2000300,9,"[853, 170, 84, 124]"
2000300,10,"[855, 168, 83, 126]"
2000300,11,"[859, 168, 81, 127]"
2000300,12,"[861, 167, 81, 129]"
2000300,13,"[861, 167, 82, 129]"
2000300,14,"[863, 166, 81, 131]"
2000300,15,"[864, 164, 80, 133]"
2000300,16,"[864, 163, 81, 135]"
2000300,17,"[865, 162, 80, 136]"
2000300,18,"[865, 161, 81, 138]"
2000300,19,"[866, 159, 79, 140]"
2000300,20,"[867, 158, 80, 142]"
2000300,21,"[867, 156, 80, 144]"
2000300,22,"[868, 154, 79, 147]"
2000300,23,"[867, 154, 79, 148]"
2000300,24,"[867, 153, 77, 151]"
2000300,25,"[865, 153, 76, 152]"
2000300,26,"[865, 153, 75, 155]"
2000300,27,"[864, 153, 75, 158]"
2000300,28,"[864, 153, 74, 160]"
2000300,29,"[861, 155, 73, 163]"
2000300,30,"[861, 155, 72, 166]"
2000300,31,"[861, 156, 70, 167]"
2000300,32,"[861, 157, 69, 169]"
2000300,33,"[860, 158, 69, 171]"
2000300,34,"[860, 159, 67, 173]"
2000300,35,"[856, 161, 68, 175]"
2000300,36,"[857, 162, 64, 176]"
2000300,37,"[856, 162, 64, 179]"
2000300,38,"[856, 164, 63, 179]"
2000300,39,"[855, 166, 64, 181]"
2000300,40,"[854, 167, 73, 182]"
2000300,41,"[854, 168, 70, 184]"
2000300,42,"[854, 169, 66, 185]"
2000300,43,"[853, 171, 65, 185]"
2000300,44,"[853, 172, 65, 186]"
2000300,45,"[852, 174, 62, 186]"
2000300,46,"[852, 175, 62, 187]"
2000300,47,"[851, 175, 62, 189]"
2000300,48,"[850, 176, 62, 190]"
2000300,49,"[850, 178, 61, 190]"
2000300,50,"[848, 181, 62, 189]"
2000300,51,"[847, 181, 61, 192]"
2000300,52,"[846, 182, 62, 193]"
2000300,53,"[845, 184, 61, 193]"
2000300,54,"[846, 186, 61, 192]"
2000300,55,"[846, 187, 62, 193]"
2000300,56,"[847, 188, 61, 194]"
2000300,57,"[846, 179, 61, 209]"
2000300,58,"[847, 162, 66, 244]"
2000300,59,"[845, 156, 68, 254]"
2000300,60,"[846, 159, 70, 252]"
2000300,61,"[845, 159, 74, 253]"
2000300,62,"[842, 163, 77, 248]"
2000300,63,"[842, 168, 78, 240]"
2000300,64,"[841, 163, 79, 248]"
2000300,65,"[840, 157, 80, 259]"
2000300,66,"[840, 156, 79, 262]"
2000300,67,"[838, 160, 76, 258]"
2000300,68,"[838, 161, 79, 257]"
2000300,69,"[833, 165, 83, 253]"
2000300,70,"[831, 176, 87, 238]"
2000300,71,"[830, 177, 88, 237]"
2000300,72,"[828, 169, 87, 251]"
2000300,73,"[828, 161, 85, 263]"
2000300,74,"[826, 162, 85, 261]"
2000300,75,"[824, 162, 83, 261]"
2000300,76,"[821, 163, 84, 260]"
2000300,77,"[818, 168, 84, 252]"
2000300,78,"[817, 163, 84, 258]"
2000300,79,"[818, 159, 82, 263]"
2000300,80,"[811, 160, 87, 261]"
2000300,81,"[804, 160, 94, 258]"
2000300,82,"[803, 157, 93, 260]"
2000300,83,"[809, 158, 82, 256]"
2000300,84,"[802, 156, 86, 254]"
2000300,85,"[798, 155, 83, 251]"
2000300,86,"[797, 149, 79, 258]"
2000300,87,"[790, 141, 80, 263]"
2000300,88,"[787, 140, 75, 265]"
2000300,89,"[786, 141, 70, 262]"
2000300,90,"[781, 143, 67, 259]"
2000300,91,"[778, 148, 67, 249]"
2000300,92,"[775, 156, 64, 236]"
2000300,93,"[772, 157, 64, 230]"
2000300,94,"[771, 167, 62, 216]"
2000300,95,"[770, 172, 61, 208]"
2000300,96,"[770, 176, 58, 203]"
2000300,97,"[769, 176, 56, 204]"
2000300,98,"[768, 174, 59, 207]"
2000300,99,"[769, 175, 55, 207]"
2000300,100,"[769, 178, 55, 204]"
2000300,101,"[769, 179, 58, 204]"
2000300,102,"[773, 179, 56, 205]"
2000300,103,"[776, 180, 52, 206]"
2000300,104,"[778, 183, 54, 204]"
2000300,105,"[782, 185, 48, 204]"
2000300,106,"[782, 187, 58, 205]"
2000300,107,"[780, 190, 56, 204]"
2000300,108,"[781, 193, 71, 203]"
2000300,109,"[784, 194, 75, 209]"
2000300,110,"[786, 187, 75, 227]"
2000300,111,"[788, 180, 78, 242]"
2000300,112,"[791, 181, 79, 246]"
2000300,113,"[796, 183, 79, 249]"
2000300,114,"[802, 201, 76, 232]"
2000300,115,"[806, 195, 75, 239]"
2000300,116,"[813, 210, 75, 223]"
2000300,117,"[819, 210, 73, 225]"
2000300,118,"[823, 209, 72, 234]"
2000300,119,"[828, 200, 71, 252]"
2000300,120,"[831, 200, 70, 257]"
2000300,121,"[834, 202, 73, 257]"
2000300,122,"[836, 208, 74, 250]"
2000300,123,"[839, 216, 74, 241]"
2000300,124,"[842, 221, 73, 234]"
2000300,125,"[844, 225, 73, 229]"
2000300,126,"[846, 227, 74, 228]"
2000300,127,"[847, 231, 75, 225]"
2000300,128,"[848, 233, 75, 226]"
2000300,129,"[849, 239, 78, 219]"
2000300,130,"[850, 242, 78, 217]"
2000300,131,"[853, 248, 77, 209]"
2000300,132,"[857, 250, 78, 205]"
2000300,133,"[865, 251, 77, 200]"
2000300,134,"[872, 249, 83, 200]"
2000300,135,"[883, 247, 86, 199]"
2000300,136,"[895, 250, 89, 197]"
2000300,137,"[902, 248, 89, 197]"
2000300,138,"[914, 247, 92, 196]"
2000300,139,"[923, 246, 87, 195]"
2000300,140,"[925, 245, 91, 194]"
2000300,141,"[926, 244, 90, 193]"
2000300,142,"[934, 238, 86, 146]"
2000300,143,"[947, 230, 89, 203]"
2000300,144,"[971, 215, 84, 152]"
2000300,145,"[1126, 134, 79, 236]"
2000300,146,"[1290, 65, 83, 244]"
2000300,147,"[1516, 0, 89, 226]"
3082007,483,"[281, 512, 86, 78]"
3082007,484,"[294, 546, 85, 77]"
3082007,485,"[300, 580, 81, 70]"
3082007,486,"[282, 617, 88, 70]"
3082007,487,"[323, 621, 84, 70]"
3082007,488,"[369, 598, 88, 73]"
3082007,489,"[387, 583, 89, 74]"
3082007,490,"[386, 573, 92, 78]"
3082007,491,"[368, 554, 91, 78]"
3082007,492,"[376, 550, 90, 80]"
3082007,493,"[365, 560, 90, 78]"
3082007,494,"[376, 552, 91, 76]"
3082007,495,"[398, 561, 88, 74]"
3082007,496,"[406, 578, 89, 72]"
3082007,497,"[437, 578, 87, 72]"
3082007,498,"[468, 571, 88, 73]"
3082007,499,"[457, 596, 89, 74]"
3082007,500,"[445, 613, 89, 75]"
3082007,501,"[445, 613, 88, 74]"
3082007,502,"[415, 653, 90, 73]"
3082007,503,"[366, 706, 95, 73]"
3082007,504,"[299, 795, 96, 73]"
3082007,505,"[268, 817, 100, 75]"
3082007,506,"[239, 825, 100, 77]"
3082007,507,"[192, 827, 100, 79]"
3082007,508,"[45, 811, 106, 83]"
3082007,509,"[0, 809, 86, 85]"
3082007,510,"[0, 791, 76, 85]"
3082007,511,"[0, 756, 112, 87]"
3082007,512,"[47, 700, 112, 84]"
3082007,513,"[75, 663, 110, 83]"
3082007,514,"[100, 633, 110, 83]"
3082007,515,"[101, 626, 109, 84]"
3082007,516,"[101, 613, 107, 85]"
3082007,517,"[84, 609, 107, 86]"
3082007,518,"[80, 591, 109, 84]"
3082007,519,"[72, 569, 109, 84]"
3082007,520,"[22, 544, 111, 87]"
3082007,521,"[0, 536, 116, 86]"
3082007,522,"[0, 540, 76, 87]"
3082007,523,"[0, 549, 40, 85]"
3082007,527,"[0, 472, 51, 92]"
3082007,528,"[0, 467, 86, 91]"
3082007,529,"[21, 505, 116, 88]"
3082007,530,"[20, 532, 115, 88]"
3082007,531,"[74, 522, 106, 84]"
3082007,532,"[114, 504, 106, 84]"
3082007,533,"[165, 472, 104, 83]"
3082007,534,"[172, 464, 102, 83]"
3082007,535,"[154, 468, 105, 84]"
3082007,536,"[134, 470, 105, 83]"
3082007,537,"[80, 456, 106, 84]"
3082007,538,"[45, 443, 108, 85]"
3082007,539,"[7, 423, 112, 85]"
3082007,540,"[0, 400, 83, 87]"
3082007,541,"[0, 327, 41, 89]"
3082007,542,"[0, 286, 74, 92]"
3082007,543,"[0, 273, 90, 93]"
3082007,544,"[0, 277, 90, 93]"
3082007,545,"[0, 289, 103, 93]"
3082007,546,"[0, 293, 112, 92]"
3082007,547,"[0, 304, 98, 92]"
3082007,548,"[0, 297, 115, 91]"
3082007,549,"[0, 281, 96, 93]"
3082007,550,"[0, 273, 78, 92]"
3082007,551,"[0, 273, 78, 92]"
3082007,552,"[0, 274, 27, 81]"
3082007,935,"[0, 341, 56, 145]"
3082007,936,"[0, 334, 83, 143]"
3082007,937,"[0, 322, 117, 137]"
3082007,938,"[7, 316, 131, 127]"
3082007,939,"[23, 302, 132, 122]"
3082007,940,"[23, 299, 134, 126]"
3082007,941,"[33, 300, 134, 129]"
3082007,942,"[46, 303, 131, 134]"
3082007,943,"[86, 302, 129, 131]"
3082007,944,"[109, 302, 127, 131]"
3082007,945,"[125, 301, 131, 132]"
3082007,946,"[148, 296, 129, 128]"
3082007,947,"[185, 272, 130, 131]"
3082007,948,"[193, 248, 133, 130]"
3082007,949,"[184, 230, 139, 119]"
3082007,950,"[178, 202, 146, 122]"
3082007,951,"[178, 202, 146, 122]"
3082007,952,"[152, 161, 150, 135]"
3082007,953,"[124, 141, 159, 141]"
3082007,954,"[99, 119, 163, 145]"
3082007,955,"[85, 93, 163, 149]"
3082007,956,"[51, 66, 165, 147]"
3082007,957,"[37, 61, 168, 156]"
3082007,958,"[21, 57, 168, 161]"
3082007,959,"[6, 48, 164, 163]"
3082007,960,"[0, 37, 86, 147]"
3082007,961,"[0, 68, 42, 77]"
3082007,1238,"[0, 41, 35, 150]"
3082007,1239,"[0, 30, 75, 167]"
3082007,1240,"[0, 47, 147, 167]"
3082007,1241,"[0, 55, 170, 158]"
3082007,1242,"[41, 46, 159, 157]"
3082007,1243,"[81, 45, 156, 157]"
3082007,1244,"[153, 64, 160, 161]"
3082007,1245,"[166, 85, 168, 157]"
3082007,1246,"[186, 116, 166, 150]"
3082007,1247,"[180, 151, 170, 145]"
3082007,1248,"[198, 178, 156, 143]"
3082007,1249,"[224, 200, 151, 141]"
3082007,1250,"[239, 238, 152, 141]"
3082007,1251,"[239, 238, 152, 141]"
3082007,1252,"[239, 271, 156, 146]"
3082007,1253,"[244, 291, 159, 148]"
3082007,1254,"[266, 285, 149, 145]"
3082007,1255,"[271, 274, 151, 146]"
3082007,1256,"[268, 276, 152, 144]"
3082007,1257,"[267, 284, 151, 137]"
3082007,1258,"[214, 282, 162, 144]"
3082007,1259,"[176, 282, 173, 131]"
3082007,1260,"[135, 275, 185, 130]"
3082007,1261,"[109, 269, 187, 142]"
3082007,1262,"[51, 271, 204, 153]"
3082007,1263,"[16, 275, 206, 158]"
3082007,1264,"[0, 277, 193, 154]"
3082007,1265,"[0, 278, 173, 144]"
3082007,1266,"[0, 282, 140, 153]"
3082007,1267,"[0, 289, 130, 151]"
3082007,1268,"[0, 302, 109, 148]"
3082007,1269,"[0, 323, 81, 132]"
3082007,1270,"[0, 309, 89, 153]"
3082007,1404,"[0, 193, 105, 182]"
3082007,1405,"[17, 208, 149, 180]"
3082007,1406,"[89, 233, 143, 174]"
3082007,1407,"[185, 270, 126, 166]"
3082007,1408,"[315, 343, 115, 138]"
3082007,1409,"[366, 374, 112, 122]"
3082007,1410,"[416, 392, 106, 116]"
3082007,1411,"[456, 399, 100, 113]"
3082007,1412,"[428, 407, 137, 100]"
3082007,1413,"[565, 419, 108, 134]"
3082007,1414,"[604, 423, 109, 145]"
3082007,1415,"[641, 430, 110, 148]"
3082007,1416,"[716, 425, 106, 154]"
3082007,1417,"[743, 409, 103, 146]"
3082007,1418,"[772, 445, 74, 122]"
3082007,1419,"[779, 477, 58, 78]"
3082007,1420,"[797, 517, 36, 31]"
3082007,1433,"[1049, 399, 53, 61]"
3082007,1434,"[1035, 403, 77, 93]"
3082007,1435,"[1030, 403, 85, 113]"
3082007,1436,"[1037, 394, 80, 119]"
3082007,1437,"[1047, 410, 78, 130]"
3082007,1438,"[1046, 422, 74, 122]"
3082007,1439,"[1028, 421, 73, 120]"
3082007,1440,"[1026, 412, 70, 116]"
3082007,1441,"[1064, 376, 69, 104]"
3082007,1442,"[1037, 367, 73, 104]"
3082007,1443,"[1029, 367, 78, 106]"
3082007,1444,"[1048, 376, 77, 108]"
3082007,1445,"[1058, 408, 80, 120]"
3082007,1446,"[1075, 425, 69, 120]"
3082007,1447,"[1083, 430, 62, 120]"
3082007,1448,"[1111, 423, 57, 118]"
3082007,1449,"[1143, 427, 51, 80]"
3082007,1450,"[1141, 438, 53, 76]"
3082007,1451,"[1141, 439, 52, 74]"
3082007,1452,"[1138, 452, 54, 77]"
3082007,1453,"[1134, 463, 56, 80]"
3082007,1454,"[1104, 499, 42, 73]"
3082007,1455,"[1072, 507, 39, 53]"
3082007,1456,"[1061, 516, 34, 39]"
3082007,1457,"[1067, 510, 27, 28]"
3082007,1473,"[626, 523, 78, 43]"
3082007,1477,"[1116, 437, 25, 83]"
3082007,1478,"[1115, 429, 35, 88]"
3082007,1479,"[1123, 424, 43, 84]"
3082007,1480,"[1129, 442, 51, 73]"
3082007,1481,"[1137, 462, 50, 68]"
3082007,1482,"[1146, 479, 53, 66]"
3082007,1483,"[1160, 483, 54, 66]"
3082007,1484,"[1158, 479, 69, 65]"
3082007,1485,"[1160, 475, 70, 64]"
3082007,1486,"[1183, 465, 60, 62]"
3082007,1487,"[1205, 453, 56, 65]"
3082007,1488,"[1217, 443, 56, 61]"
3082007,1489,"[1224, 445, 58, 56]"
3082007,1490,"[1240, 448, 56, 52]"
3082007,1491,"[1247, 449, 56, 49]"
3082007,1492,"[1255, 445, 55, 47]"
3082007,1493,"[1252, 444, 56, 46]"
3082007,1494,"[1247, 441, 61, 45]"
3082007,1495,"[1256, 437, 78, 47]"
3082007,1496,"[1242, 432, 77, 47]"
3082007,1497,"[1240, 428, 53, 48]"
3082007,1498,"[1242, 422, 51, 48]"
3082007,1499,"[1249, 408, 50, 50]"
3082007,1500,"[1264, 382, 49, 53]"
3082007,1501,"[1264, 381, 50, 54]"
3082007,1502,"[1261, 366, 50, 53]"
3082007,1503,"[1272, 346, 50, 53]"
3082007,1504,"[1289, 326, 51, 53]"
3082007,1505,"[1312, 316, 52, 55]"
3082007,1506,"[1321, 323, 51, 55]"
3082007,1507,"[1336, 336, 50, 55]"
3082007,1508,"[1326, 343, 49, 55]"
3082007,1509,"[1332, 341, 48, 54]"
3082007,1510,"[1332, 341, 47, 51]"
3082007,1511,"[1338, 342, 46, 50]"
3082007,1512,"[1338, 350, 47, 52]"
3082007,1513,"[1346, 357, 45, 50]"
3082007,1514,"[1354, 359, 44, 49]"
3082007,1515,"[1353, 361, 43, 51]"
3082007,1516,"[1351, 367, 43, 50]"
3082007,1517,"[1355, 388, 43, 49]"
3082007,1518,"[1353, 405, 43, 49]"
3082007,1519,"[1357, 414, 43, 49]"
3082007,1520,"[1361, 418, 44, 48]"
3082007,1521,"[1349, 410, 44, 46]"
3082007,1522,"[1346, 413, 46, 47]"
3082007,1523,"[1345, 418, 44, 47]"
3082007,1524,"[1336, 411, 45, 47]"
3082007,1525,"[1326, 386, 46, 47]"
3082007,1526,"[1326, 386, 46, 47]"
3082007,1527,"[1325, 376, 46, 48]"
